t in sec,p1 in mbar,p2 in mbar
1,950,1000
5,620,1000
10,390,1000
15,280,1000
20,218,1000
25,172,1000
30,138,1000
35,113,1000
40,99.6,1000
45,75.2,1000
50,66.6,1000
55,55.5,1000
60,48.7,1000
65,43.1,1000
70,38.1,1000
75,32.9,950
80,29.6,700
85,26.5,530
90,23.3,410
95,20.9,345
100,19.0,285
105,17.2,252
110,15.6,219
115,14.2,192
120,12.7,174
125,11.7,161
130,10.9,147
135,10.0,134
140,9.19,123
145,8.38,115
150,7.80,109
155,7.25,102
160,6.73,95.9
165,6.22,89.3
170,5.81,84.0
175,5.39,79.0
180,5.04,75.6
185,4.75,72.4
190,4.47,69.3
195,4.18,66.4
200,3.90,63.2
205,3.74,61.3
210,3.51,58.4
215,3.32,56.0
220,3.16,53.8
225,2.99,51.5
230,2.83,49.3
235,2.69,47.9
240,2.57,46.7
245,2.44,45.5
250,2.33,44.2
255,2.22,43.0
260,2.11,41.9
265,2.03,40.9
270,1.95,39.7
275,1.87,38.6
280,1.79,37.5
285,1.73,36.4
290,1.68,35.7
295,1.61,34.8
300,1.55,33.8